New England Patriots (NE),d
Dallas Cowboys (DAL),d
San Francisco 49ers (SF),d
Buffalo Bills (BUF),d
Philadelphia Eagles (PHI),d
Jacksonville Jaguars (JAC),d
Baltimore Ravens (BAL),d
Kansas City Chiefs (KC),d
Carolina Panthers (CAR),d
New York Jets (NYJ),d
Washington Commanders (WAS),d
Green Bay Packers (GB),d
Seattle Seahawks (SEA),d
Houston Texans (HOU),d
Indianapolis Colts (IND),d
New Orleans Saints (NO),d
Cincinnati Bengals (CIN),d
New York Giants (NYG),d
Pittsburgh Steelers (PIT),d
Miami Dolphins (MIA),d
Cleveland Browns (CLE),d
Minnesota Vikings (MIN),d
Los Angeles Chargers (LAC),d
Los Angeles Rams (LAR),d
Tennessee Titans (TEN),d
Tampa Bay Buccaneers (TB),d
Arizona Cardinals (ARI),d
Denver Broncos (DEN),d
Detroit Lions (DET),d
Atlanta Falcons (ATL),d
Las Vegas Raiders (LV),d
Chicago Bears (CHI),d
