Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank

0,Josh Jacobs,LVR,RB,24,13,13,0,0,0,0,0,269,1402,5.21,11,52,44,346,7.86,0,2,1,11,,,239,282.8,289.8,260.8,121,1,1

1,Jalen Hurts,PHI,QB,24,13,13,264,388,3157,22,3,139,686,4.94,10,0,0,0,,0,9,2,10,1,,335,334.9,345.9,337.9,116,1,2

2,Travis Kelce,KAN,TE,33,13,13,0,0,0,0,0,2,5,2.50,0,117,81,1039,12.83,12,1,1,12,1,,176,257.4,261.4,216.9,105,1,3

3,Christian McCaffrey,2TM,RB,26,14,13,1,1,34,1,0,200,927,4.64,6,94,74,623,8.42,4,1,0,10,,,220,294.4,300.4,257.4,103,2,4

4,Patrick Mahomes,KAN,QB,27,13,13,336,511,4160,33,11,47,280,5.96,2,0,0,0,,0,4,0,2,1,1,320,320.4,337.4,331.4,102,2,5

5,Derrick Henry ,TEN,RB,28,13,13,2,2,4,1,0,275,1199,4.36,11,34,26,320,12.31,0,4,2,11,,,218,244.1,252.1,231.1,101,3,6

6,Justin Jefferson,MIN,WR,23,13,13,2,2,34,0,0,4,24,6.00,1,142,99,1500,15.15,6,0,0,7,1,,198,296.8,299.8,247.3,101,1,7

7,Davante Adams,LVR,WR,30,13,13,0,0,0,0,0,3,-1,-0.33,0,142,82,1247,15.21,12,1,0,12,,,197,278.6,281.6,237.6,100,2,8

8,Josh Allen,BUF,QB,26,13,13,300,470,3553,26,11,99,628,6.34,6,0,0,0,,0,10,4,6,,,315,314.9,335.9,325.9,97,3,9

9,Tyreek Hill,MIA,WR,28,13,13,0,0,0,0,0,6,30,5.00,0,139,100,1460,14.60,6,1,0,7,,,191,291.0,294.0,241.0,95,3,10

10,Nick Chubb,CLE,RB,27,13,13,0,0,0,0,0,231,1153,4.99,12,27,20,172,8.60,0,1,1,12,1,,205,224.5,231.5,214.5,88,4,11

11,Stefon Diggs,BUF,WR,29,13,13,0,0,0,0,0,0,0,,0,133,94,1239,13.18,10,1,0,10,,,184,277.9,280.9,230.9,88,4,12

12,Austin Ekeler,LAC,RB,27,13,13,0,0,0,0,0,153,634,4.14,8,112,93,623,6.70,5,4,2,13,,,200,292.7,300.7,246.2,84,5,13

13,Joe Burrow,CIN,QB,26,13,13,322,473,3685,27,9,65,234,3.60,5,0,0,0,,0,4,2,5,,2,291,290.8,307.8,299.8,74,4,14

14,Tony Pollard,DAL,RB,25,13,4,0,0,0,0,0,158,894,5.66,9,41,29,279,9.62,3,0,0,12,,,189,218.3,224.3,203.8,74,6,15

15,Saquon Barkley,NYG,RB,25,13,13,0,0,0,0,0,251,1083,4.31,8,54,42,261,6.21,0,1,0,8,1,,184,226.4,232.4,205.4,70,7,16

16,Miles Sanders,PHI,RB,25,13,11,0,0,0,0,0,204,1068,5.24,11,23,18,85,4.72,0,0,0,11,,,181,199.3,202.3,190.3,67,8,17

17,A.J. Brown,PHI,WR,25,13,12,0,0,0,0,0,0,0,,0,102,65,1020,15.69,10,2,2,10,,,158,223.0,228.0,190.5,64,5,18

18,Jamaal Williams,DET,RB,27,13,7,0,0,0,0,0,204,806,3.95,14,13,9,57,6.33,0,3,2,14,1,,168,177.3,182.3,172.8,54,9,19

19,Dalvin Cook,MIN,RB,27,13,13,0,0,0,0,0,213,950,4.46,8,44,29,170,5.86,1,2,2,9,,,162,191.0,199.0,176.5,48,10,20

20,Tyler Lockett,SEA,WR,30,14,14,0,0,0,0,0,0,0,,0,108,78,964,12.36,8,2,2,8,,,140,218.4,223.4,179.4,47,6,21

21,Geno Smith,SEA,QB,32,14,14,337,472,3671,26,8,56,281,5.02,1,0,0,0,,0,7,4,1,,,261,260.9,278.9,268.9,46,5,22

22,CeeDee Lamb,DAL,WR,23,13,13,0,0,0,0,0,9,46,5.11,0,117,74,961,12.99,6,0,0,6,,,137,210.7,213.7,173.7,43,7,23

23,Jaylen Waddle,MIA,WR,24,13,13,0,0,0,0,0,2,17,8.50,0,94,59,1003,17.00,6,1,1,6,,,136,195.0,199.0,165.5,43,8,24

24,Amon-Ra St. Brown,DET,WR,23,12,12,0,0,0,0,0,7,89,12.71,0,109,82,898,10.95,6,0,0,6,,,135,216.7,219.7,175.7,42,9,25

25,Aaron Jones,GNB,RB,28,13,13,0,0,0,0,0,164,847,5.16,2,58,48,328,6.83,4,3,1,6,1,,154,201.5,208.5,177.5,40,11,26

26,Joe Mixon,CIN,RB,26,11,11,0,0,0,0,0,172,701,4.08,6,55,43,324,7.53,2,0,0,8,,,151,193.5,199.5,172.0,38,12,27

27,Christian Kirk,JAX,WR,26,13,13,0,1,0,0,0,4,7,1.75,0,106,67,874,13.04,7,1,1,7,,,128,195.1,199.1,161.6,35,10,28

28,Amari Cooper,CLE,WR,28,13,13,0,1,0,0,1,0,0,,0,109,63,874,13.87,7,0,0,7,,,127,190.4,194.4,159.9,35,11,29

29,Cooper Kupp,LAR,WR,29,9,9,0,1,0,0,0,9,52,5.78,1,98,75,812,10.83,6,2,1,7,,,126,201.4,205.4,163.9,34,12,30

30,Taysom Hill,NOR,TE,32,12,7,9,15,136,1,0,61,419,6.87,5,11,7,66,9.43,2,1,0,7,,,100,106.9,109.9,103.4,33,2,31

31,Mark Andrews,BAL,TE,27,12,12,0,0,0,0,0,3,8,2.67,0,92,58,671,11.57,5,1,0,5,1,,100,157.9,160.9,128.9,33,3,32

32,Justin Fields,CHI,QB,23,12,12,156,253,1896,13,10,128,905,7.07,8,0,0,0,,0,13,1,8,,1,246,246.3,263.3,256.3,33,6,33

33,D.K. Metcalf,SEA,WR,25,14,14,0,0,0,0,0,0,0,,0,119,79,924,11.70,6,2,2,6,,,124,203.4,208.4,163.9,32,13,34

34,Ja'Marr Chase,CIN,WR,22,9,9,0,0,0,0,0,5,8,1.60,0,97,64,821,12.83,7,1,1,7,,,123,186.9,190.9,154.9,30,14,35

35,Rhamondre Stevenson,NWE,RB,24,13,5,0,0,0,0,0,164,742,4.52,4,70,58,385,6.64,1,1,0,5,,,143,200.7,206.7,171.7,30,13,36

36,T.J. Hockenson,2TM,TE,25,13,12,0,0,0,0,0,0,0,,0,91,62,697,11.24,4,1,1,4,1,,94,155.7,159.7,124.7,27,4,37

37,George Kittle,SFO,TE,29,12,12,0,0,0,0,0,0,0,,0,64,46,593,12.89,6,1,1,6,,,93,139.3,143.3,116.3,27,5,38

38,Kenneth Walker III,SEA,RB,22,12,8,0,0,0,0,0,150,696,4.64,9,31,23,148,6.43,0,0,0,9,,,138,161.4,167.4,149.9,26,14,39

39,Brandon Aiyuk,SFO,WR,24,14,14,0,0,0,0,0,1,7,7.00,0,90,60,774,12.90,7,1,1,7,,,118,178.1,182.1,148.1,26,15,40

40,Dameon Pierce,HOU,RB,22,13,13,0,0,0,0,0,220,939,4.27,4,39,30,165,5.50,1,4,2,5,,,136,166.4,174.4,151.4,24,15,41

41,Tee Higgins,CIN,WR,23,13,11,0,0,0,0,0,0,0,,0,85,60,861,14.35,5,0,0,5,,,116,176.1,179.1,146.1,24,16,42

42,Lamar Jackson,BAL,QB,25,12,12,203,326,2242,17,7,112,764,6.82,3,0,0,0,,0,5,2,3,,1,236,236.1,251.1,243.1,23,7,43

43,Trevor Lawrence,JAX,QB,23,13,13,303,458,3202,20,6,46,218,4.74,4,0,0,0,,0,8,6,4,,3,236,235.9,253.9,241.9,23,8,44

44,Terry McLaurin,WAS,WR,27,13,13,0,0,0,0,0,6,17,2.83,0,98,62,945,15.24,3,1,0,3,,,114,176.2,179.2,145.2,22,17,45

45,Ezekiel Elliott,DAL,RB,27,11,10,0,0,0,0,0,172,716,4.16,9,18,14,73,5.21,0,0,0,9,,,133,146.9,149.9,139.9,21,16,46

